"ItemId","Batch","Priority","Block","LawNumber","LawTitle","ImageKind","PromptPath","OutputFolder","OutputFilename","OutputPath","Status","NeedsUploadLogo","CreatedDate","Notes"
"REF-0000","Lote 0001","0-Referencia","00_Referencia","0000","Referencia Personajes Oloverso","Referencia Personajes","C:\Users\david\OneDrive\Escritorio\Imagenes Oloverso\03_Prompts\Prompt Referencia Personajes Oloverso.txt","C:\Users\david\OneDrive\Escritorio\Imagenes Oloverso\01_Personajes","Referencia Personajes Oloverso.png","C:\Users\david\OneDrive\Escritorio\Imagenes Oloverso\01_Personajes\Referencia Personajes Oloverso.png","Correcta","SI","2026-05-30","Imagen generada con imagegen integrado y copiada al destino final. Pendiente usarla como referencia de coherencia para las leyes."
"IMG-00001","Lote 0001","1-Leyes","Bloque 1.33 - Leyes Mentales","0001","La Ley del Objetivo","Imagen General","C:\Users\david\OneDrive\Escritorio\Imagenes Oloverso\03_Prompts\Bloque 1.33 - Leyes Mentales\Ley 0001 - La Ley del Objetivo\Ley 0001 - La Ley del Objetivo - Prompt Imagen General.txt","C:\Users\david\OneDrive\Escritorio\Imagenes Oloverso\04_Imagenes_Generadas\Bloque 1.33 - Leyes Mentales\Ley 0001 - La Ley del Objetivo","Ley 0001 - La Ley del Objetivo - Imagen General.png","C:\Users\david\OneDrive\Escritorio\Imagenes Oloverso\04_Imagenes_Generadas\Bloque 1.33 - Leyes Mentales\Ley 0001 - La Ley del Objetivo\Ley 0001 - La Ley del Objetivo - Imagen General.png","Correcta","SI","2026-05-30","Imagen generada con imagegen integrado, revisada visualmente y copiada al destino final."
"IMG-00002","Lote 0001","1-Leyes","Bloque 1.33 - Leyes Mentales","0001","La Ley del Objetivo","Principio 1","C:\Users\david\OneDrive\Escritorio\Imagenes Oloverso\03_Prompts\Bloque 1.33 - Leyes Mentales\Ley 0001 - La Ley del Objetivo\Ley 0001 - Prompt Principio 1.txt","C:\Users\david\OneDrive\Escritorio\Imagenes Oloverso\04_Imagenes_Generadas\Bloque 1.33 - Leyes Mentales\Ley 0001 - La Ley del Objetivo","Ley 0001 - La Ley del Objetivo - Principio 1 - La singularidad como brujula.png","C:\Users\david\OneDrive\Escritorio\Imagenes Oloverso\04_Imagenes_Generadas\Bloque 1.33 - Leyes Mentales\Ley 0001 - La Ley del Objetivo\Ley 0001 - La Ley del Objetivo - Principio 1 - La singularidad como brujula.png","Correcta","SI","2026-05-30","Principio 1 generado con imagegen integrado y copiado al destino final."
"IMG-00003","Lote 0001","1-Leyes","Bloque 1.33 - Leyes Mentales","0001","La Ley del Objetivo","Principio 2","C:\Users\david\OneDrive\Escritorio\Imagenes Oloverso\03_Prompts\Bloque 1.33 - Leyes Mentales\Ley 0001 - La Ley del Objetivo\Ley 0001 - Prompt Principio 2.txt","C:\Users\david\OneDrive\Escritorio\Imagenes Oloverso\04_Imagenes_Generadas\Bloque 1.33 - Leyes Mentales\Ley 0001 - La Ley del Objetivo","Ley 0001 - La Ley del Objetivo - Principio 2 - Comparar es sabotear tu avance.png","C:\Users\david\OneDrive\Escritorio\Imagenes Oloverso\04_Imagenes_Generadas\Bloque 1.33 - Leyes Mentales\Ley 0001 - La Ley del Objetivo\Ley 0001 - La Ley del Objetivo - Principio 2 - Comparar es sabotear tu avance.png","Correcta","SI","2026-05-30","Principio 2 generado con imagegen integrado y copiado al destino final."
"IMG-00004","Lote 0001","1-Leyes","Bloque 1.33 - Leyes Mentales","0001","La Ley del Objetivo","Principio 3","C:\Users\david\OneDrive\Escritorio\Imagenes Oloverso\03_Prompts\Bloque 1.33 - Leyes Mentales\Ley 0001 - La Ley del Objetivo\Ley 0001 - Prompt Principio 3.txt","C:\Users\david\OneDrive\Escritorio\Imagenes Oloverso\04_Imagenes_Generadas\Bloque 1.33 - Leyes Mentales\Ley 0001 - La Ley del Objetivo","Ley 0001 - La Ley del Objetivo - Principio 3 - El enfoque dirige la energia.png","C:\Users\david\OneDrive\Escritorio\Imagenes Oloverso\04_Imagenes_Generadas\Bloque 1.33 - Leyes Mentales\Ley 0001 - La Ley del Objetivo\Ley 0001 - La Ley del Objetivo - Principio 3 - El enfoque dirige la energia.png","Correcta","SI","2026-05-30","Principio 3 generado con imagegen integrado y copiado al destino final."
"IMG-00005","Lote 0001","1-Leyes","Bloque 1.33 - Leyes Mentales","0001","La Ley del Objetivo","Principio 4","C:\Users\david\OneDrive\Escritorio\Imagenes Oloverso\03_Prompts\Bloque 1.33 - Leyes Mentales\Ley 0001 - La Ley del Objetivo\Ley 0001 - Prompt Principio 4.txt","C:\Users\david\OneDrive\Escritorio\Imagenes Oloverso\04_Imagenes_Generadas\Bloque 1.33 - Leyes Mentales\Ley 0001 - La Ley del Objetivo","Ley 0001 - La Ley del Objetivo - Principio 4 - La meta propia es intransferible.png","C:\Users\david\OneDrive\Escritorio\Imagenes Oloverso\04_Imagenes_Generadas\Bloque 1.33 - Leyes Mentales\Ley 0001 - La Ley del Objetivo\Ley 0001 - La Ley del Objetivo - Principio 4 - La meta propia es intransferible.png","Correcta","SI","2026-05-30","Principio 4 generado con imagegen integrado y copiado al destino final."
"IMG-00006","Lote 0001","1-Leyes","Bloque 1.33 - Leyes Mentales","0002","La Ley de la Creencia","Imagen General","C:\Users\david\OneDrive\Escritorio\Imagenes Oloverso\03_Prompts\Bloque 1.33 - Leyes Mentales\Ley 0002 - La Ley de la Creencia\Ley 0002 - La Ley de la Creencia - Prompt Imagen General.txt","C:\Users\david\OneDrive\Escritorio\Imagenes Oloverso\04_Imagenes_Generadas\Bloque 1.33 - Leyes Mentales\Ley 0002 - La Ley de la Creencia","Ley 0002 - La Ley de la Creencia - Imagen General.png","C:\Users\david\OneDrive\Escritorio\Imagenes Oloverso\04_Imagenes_Generadas\Bloque 1.33 - Leyes Mentales\Ley 0002 - La Ley de la Creencia\Ley 0002 - La Ley de la Creencia - Imagen General.png","Correcta","SI","2026-05-30","Ley 0002 imagen general generada con imagegen integrado y copiada al destino final."
"IMG-00007","Lote 0001","1-Leyes","Bloque 1.33 - Leyes Mentales","0002","La Ley de la Creencia","Principio 1","C:\Users\david\OneDrive\Escritorio\Imagenes Oloverso\03_Prompts\Bloque 1.33 - Leyes Mentales\Ley 0002 - La Ley de la Creencia\Ley 0002 - Prompt Principio 1.txt","C:\Users\david\OneDrive\Escritorio\Imagenes Oloverso\04_Imagenes_Generadas\Bloque 1.33 - Leyes Mentales\Ley 0002 - La Ley de la Creencia","Ley 0002 - La Ley de la Creencia - Principio 1 - La mente proyecta lo que sostiene.png","C:\Users\david\OneDrive\Escritorio\Imagenes Oloverso\04_Imagenes_Generadas\Bloque 1.33 - Leyes Mentales\Ley 0002 - La Ley de la Creencia\Ley 0002 - La Ley de la Creencia - Principio 1 - La mente proyecta lo que sostiene.png","Correcta","SI","2026-05-30","Ley 0002 Principio 1 generado con imagegen integrado y copiado al destino final."
"IMG-00008","Lote 0001","1-Leyes","Bloque 1.33 - Leyes Mentales","0002","La Ley de la Creencia","Principio 2","C:\Users\david\OneDrive\Escritorio\Imagenes Oloverso\03_Prompts\Bloque 1.33 - Leyes Mentales\Ley 0002 - La Ley de la Creencia\Ley 0002 - Prompt Principio 2.txt","C:\Users\david\OneDrive\Escritorio\Imagenes Oloverso\04_Imagenes_Generadas\Bloque 1.33 - Leyes Mentales\Ley 0002 - La Ley de la Creencia","Ley 0002 - La Ley de la Creencia - Principio 2 - Actuar como si es acelerar el proceso.png","C:\Users\david\OneDrive\Escritorio\Imagenes Oloverso\04_Imagenes_Generadas\Bloque 1.33 - Leyes Mentales\Ley 0002 - La Ley de la Creencia\Ley 0002 - La Ley de la Creencia - Principio 2 - Actuar como si es acelerar el proceso.png","Correcta","SI","2026-05-30","Ley 0002 Principio 2 generado con imagegen integrado y copiado al destino final."
"IMG-00009","Lote 0001","1-Leyes","Bloque 1.33 - Leyes Mentales","0002","La Ley de la Creencia","Principio 3","C:\Users\david\OneDrive\Escritorio\Imagenes Oloverso\03_Prompts\Bloque 1.33 - Leyes Mentales\Ley 0002 - La Ley de la Creencia\Ley 0002 - Prompt Principio 3.txt","C:\Users\david\OneDrive\Escritorio\Imagenes Oloverso\04_Imagenes_Generadas\Bloque 1.33 - Leyes Mentales\Ley 0002 - La Ley de la Creencia","Ley 0002 - La Ley de la Creencia - Principio 3 - La duda es el veneno de la manifestacion.png","C:\Users\david\OneDrive\Escritorio\Imagenes Oloverso\04_Imagenes_Generadas\Bloque 1.33 - Leyes Mentales\Ley 0002 - La Ley de la Creencia\Ley 0002 - La Ley de la Creencia - Principio 3 - La duda es el veneno de la manifestacion.png","Correcta","SI","2026-05-30","Ley 0002 Principio 3 generado con imagegen integrado y copiado al destino final."
